customer_id,name,email,signup_date,city,region,customer_segment
1,Saanvi Patel,user100001@example.com,2023-04-27,Mumbai,East,Non-Prime
2,Sunita Kumar,user100002@example.com,2021-11-16,Lucknow,North,Non-Prime
3,Anaya Nair,user100003@example.com,2025-03-30,Kolkata,East,Non-Prime
4,Aditya Verma,user100004@example.com,2023-07-24,Mumbai,East,Prime
5,Aditya Verma,user100005@example.com,2022-10-19,Chennai,North,Non-Prime
6,Ishaan Joshi,user100006@example.com,2023-07-26,Kolkata,West,Non-Prime
7,Sunita Bose,user100007@example.com,2024-11-10,Pune,South,Non-Prime
8,Raj Rao,user100008@example.com,2025-02-11,Bengaluru,North,Non-Prime
9,Aisha Iyer,user100009@example.com,2023-09-26,Ahmedabad,Central,Non-Prime
10,Aditya Rao,user100010@example.com,2025-08-07,Lucknow,West,Non-Prime
11,Raj Patel,user100011@example.com,2022-11-20,Kolkata,West,Non-Prime
12,Aisha Sharma,user100012@example.com,2024-08-15,Hyderabad,South,Non-Prime
13,Akki Nair,user100013@example.com,2022-10-04,Delhi,West,Non-Prime
14,Sunita Joshi,user100014@example.com,2025-07-04,Bengaluru,North,Prime
15,Ravi Nair,user100015@example.com,2023-03-21,Lucknow,North,Prime
16,Kavya Singh,user100016@example.com,2023-04-29,Pune,East,Non-Prime
17,Aisha Patel,user100017@example.com,2022-03-25,Jaipur,North,Non-Prime
18,Akki Sharma,user100018@example.com,2021-10-12,Bengaluru,Central,Non-Prime
19,Kavya Singh,user100019@example.com,2024-08-23,Delhi,West,Non-Prime
20,Diya Kumar,user100020@example.com,2021-11-28,Chennai,East,Non-Prime
21,Raj Joshi,user100021@example.com,2024-03-15,Hyderabad,North,Non-Prime
22,Akki Sharma,user100022@example.com,2023-04-17,Ahmedabad,South,Prime
23,Rohan Joshi,user100023@example.com,2025-07-24,Pune,West,Non-Prime
24,Vivaan Nair,user100024@example.com,2022-12-29,Mumbai,South,Non-Prime
25,Aditya Bose,user100025@example.com,2022-02-25,Delhi,South,Prime
26,Saanvi Rao,user100026@example.com,2023-01-03,Jaipur,South,Prime
27,Ravi Patel,user100027@example.com,2023-04-01,Chennai,South,Non-Prime
28,Priya Kapoor,user100028@example.com,2023-09-08,Bengaluru,East,Non-Prime
29,Diya Kapoor,user100029@example.com,2024-04-03,Delhi,East,Non-Prime
30,Anaya Bose,user100030@example.com,2022-12-29,Delhi,West,Non-Prime
31,Aarav Kapoor,user100031@example.com,2021-09-05,Ahmedabad,North,Non-Prime
32,Ravi Patel,user100032@example.com,2023-08-16,Ahmedabad,Central,Non-Prime
33,Ankit Joshi,user100033@example.com,2023-08-30,Pune,Central,Non-Prime
34,Ankit Rao,user100034@example.com,2023-04-04,Kolkata,East,Prime
35,Aisha Kumar,user100035@example.com,2024-05-01,Hyderabad,West,Non-Prime
36,Anaya Joshi,user100036@example.com,2025-07-12,Bengaluru,South,Prime
37,Anaya Gupta,user100037@example.com,2024-08-11,Bengaluru,South,Non-Prime
38,Ritika Joshi,user100038@example.com,2022-08-14,Chennai,East,Prime
39,Akshay Patel,user100039@example.com,2022-01-06,Lucknow,East,Non-Prime
40,Akki Patel,user100040@example.com,2024-11-19,Hyderabad,North,Non-Prime
41,Sunita Singh,user100041@example.com,2023-11-26,Hyderabad,Central,Non-Prime
42,Raj Shah,user100042@example.com,2024-02-23,Chennai,North,Prime
43,Anaya Verma,user100043@example.com,2024-01-15,Delhi,South,Non-Prime
44,Ankit Kumar,user100044@example.com,2025-02-01,Chennai,West,Non-Prime
45,Vivaan Mehta,user100045@example.com,2021-07-30,Delhi,East,Non-Prime
46,Rohan Shah,user100046@example.com,2024-12-11,Mumbai,Central,Non-Prime
